Category,Item
Breakfast,Egg McMuffin
Breakfast,Egg White Delight
Breakfast,Sausage McMuffin
Breakfast,Sausage McMuffin with Egg
Breakfast,Sausage McMuffin with Egg Whites
Breakfast,Steak & Egg McMuffin
Breakfast,Bacon
Breakfast,Sausage Biscuit, Regular
Breakfast,Sausage Biscuit, Large
Breakfast,Sausage Biscuit with Egg, Regular
Breakfast,Sausage Biscuit with Egg, Large
Breakfast,Sausage Biscuit with Egg Whites, Regular
Breakfast,Sausage Biscuit with Egg Whites, Large
Breakfast,Southern Style Chicken Biscuit, Regular
Breakfast,Southern Style Chicken Biscuit, Large
Breakfast,Steak & Egg Biscuit, Regular
Breakfast,Steak & Egg Biscuit, Large
Breakfast,Bacon
Breakfast,Sausage McGriddles
Breakfast,Sausage
Breakfast,Steak
Breakfast,Big Breakfast, Regular
Breakfast,Big Breakfast, Large
Breakfast,Big Breakfast with Egg Whites, Regular
Breakfast,Big Breakfast with Egg Whites, Large
Breakfast,Big Breakfast with Hotcakes, Regular
Breakfast,Big Breakfast with Hotcakes, Large
Breakfast,Big Breakfast with Hotcakes and Egg Whites, Regular
Breakfast,Big Breakfast with Hotcakes and Egg Whites, Large
Breakfast,Hotcakes
Breakfast,Hotcakes and Sausage
Breakfast,Sausage Burrito
Breakfast,Hash Brown
Breakfast,Cinnamon Melts
Breakfast,Fruit & Maple Oatmeal with Brown Sugar 
Breakfast,Fruit & Maple Oatmeal
Beef & Pork,Big Mac
Beef & Pork,Quarter Pounder with Cheese
Beef & Pork,Quarter Pounder with Bacon & Cheese
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch
Beef & Pork,Quarter Pounder Deluxe
Beef & Pork,Double Quarter Pounder with Cheese
Beef & Pork,Hamburger
Beef & Pork,Cheeseburger
Beef & Pork,Double Cheeseburger
Beef & Pork,Bacon Clubhouse Burger
Beef & Pork,McDouble
Beef & Pork,Bacon McDouble
Beef & Pork,Daily Double
Beef & Pork,Jalapeño Double
Beef & Pork,McRib
Chicken & Fish,Premium Crispy Chicken Classic Sandwich
Chicken & Fish,Premium Grilled Chicken Classic Sandwich
Chicken & Fish,Premium Crispy Chicken Club Sandwich
Chicken & Fish,Premium Grilled Chicken Club Sandwich
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich
Chicken & Fish,Southern Style Crispy Chicken Sandwich
Chicken & Fish,McChicken
Chicken & Fish,Bacon Cheddar McChicken
Chicken & Fish,Bacon Buffalo Ranch McChicken
Chicken & Fish,Buffalo Ranch McChicken
Chicken & Fish,Premium McWrap Chicken & Bacon, Crispy Chicken
Chicken & Fish,Premium McWrap Chicken & Bacon, Grilled Chicken
Chicken & Fish,Premium McWrap Chicken & Ranch, Crispy Chicken
Chicken & Fish,Premium McWrap Chicken & Ranch, Grilled Chicken
Chicken & Fish,Premium McWrap Southwest Chicken, Crispy Chicken
Chicken & Fish,Premium McWrap Southwest Chicken, Grilled Chicken
Chicken & Fish,Premium McWrap Chicken Sweet Chili, Crispy Chicken
Chicken & Fish,Premium McWrap Chicken Sweet Chili, Grilled Chicken
Chicken & Fish,Chicken McNuggets, 4 pc
Chicken & Fish,Chicken McNuggets, 6 pc
Chicken & Fish,Chicken McNuggets, 10 pc
Chicken & Fish,Chicken McNuggets, 20 pc
Chicken & Fish,Chicken McNuggets, 40 pc
Chicken & Fish,Filet-O-Fish
Salads,Premium Bacon Ranch Salad
Salads,Premium Bacon Ranch Salad with Crispy Chicken
Salads,Premium Bacon Ranch Salad with Grilled Chicken
Salads,Premium Southwest Salad 
Salads,Premium Southwest Salad with Crispy Chicken
Salads,Premium Southwest Salad with Grilled Chicken
Snacks & Sides,Chipotle BBQ Snack Wrap, Crispy Chicken
Snacks & Sides,Chipotle BBQ Snack Wrap, Grilled Chicken
Snacks & Sides,Honey Mustard Snack Wrap, Crispy Chicken
Snacks & Sides,Honey Mustard Snack Wrap, Grilled Chicken
Snacks & Sides,Ranch Snack Wrap, Crispy Chicken
Snacks & Sides,Ranch Snack Wrap, Grilled Chicken
Snacks & Sides,Small French Fries
Snacks & Sides,Medium French Fries
Snacks & Sides,Large French Fries
Snacks & Sides,Kids French Fries
Snacks & Sides,Side Salad
Snacks & Sides,Apple Slices
Snacks & Sides,Fruit and Yogurt Parfait
Desserts,Baked Apple Pie
Desserts,Chocolate Chip Cookie
Desserts,Oatmeal Raisin Cookie
Desserts,Kids Ice Cream Cone
Desserts,Hot Fudge Sundae
Desserts,Hot Caramel Sundae
Desserts,Strawberry Sundae
Beverages,Coca-Cola Classic, Small
Beverages,Coca-Cola Classic, Medium
Beverages,Coca-Cola Classic, Large
Beverages,Coca-Cola Classic, Kids
Beverages,Diet Coke, Small
Beverages,Diet Coke, Medium
Beverages,Diet Coke, Large
Beverages,Diet Coke, Kids
Beverages,Dr Pepper, Small
Beverages,Dr Pepper, Medium
Beverages,Dr Pepper, Large
Beverages,Dr Pepper, Kids
Beverages,Diet Dr Pepper, Small
Beverages,Diet Dr Pepper, Medium
Beverages,Diet Dr Pepper, Large
Beverages,Diet Dr Pepper, Kids
Beverages,Sprite, Small
Beverages,Sprite, Medium
Beverages,Sprite, Large
Beverages,Sprite, Kids
Beverages,1% Low Fat Milk Jug
Beverages,Fat Free Chocolate Milk Jug
Beverages,Minute Maid 100% Apple Juice Box
Beverages,Minute Maid Orange Juice, Small
Beverages,Minute Maid Orange Juice, Medium
